Offense_Description,Report_Date,Full_Address
Theft: BOV,07/20/2014 12:00:00 AM,1137 GUNTER ST                                                                                      Austin TX 78721
Burglary: Breaking & Entering,11/15/2014 12:00:00 AM,10507 MELLOW MEADOWS                                                                                Austin TX 78750
Theft: All Other Larceny,08/15/2014 12:00:00 AM,8500 BLOCK RESEARCH BLVD SVRD SB                                                                    Austin TX 78757
Theft: All Other Larceny,04/29/2014 12:00:00 AM,1200 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft: Auto Theft,03/18/2014 12:00:00 AM,825 E RUNDBERG LN                                                                                   Austin TX 78753
Theft: All Other Larceny,03/31/2014 12:00:00 AM,12803 TOMANET TRL                                                                                   Austin TX 78727
Robbery,01/29/2014 12:00:00 AM,1800 E STASSNEY LN                                                                                  Austin TX 78744
Theft: All Other Larceny,05/20/2014 12:00:00 AM,12151 HUNTERS CHASE DR                                                                              Austin TX 78729
Theft: Auto Theft,10/06/2014 12:00:00 AM,2512 HIDALGO ST                                                                                     Austin TX 78702
Theft: Auto Theft,07/19/2014 12:00:00 AM,400 BLOCK W 55TH HALF ST                                                                            Austin TX 78751
Theft: All Other Larceny,04/07/2014 12:00:00 AM,2419 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: BOV,10/17/2014 12:00:00 AM,GONZALES ST / TILLERY ST                                                                            Austin TX 78702
Burglary: Breaking & Entering,03/23/2014 12:00:00 AM,612 SHERATON AVE                                                                                    Austin TX 78745
Theft: All Other Larceny,08/04/2014 12:00:00 AM,1702 RUTLAND DR                                                                                     Austin TX 78758
Burglary: Breaking & Entering,01/05/2014 12:00:00 AM,1410 W 13TH ST                                                                                      Austin TX 78703
Theft: BOV,04/07/2014 12:00:00 AM,1506 W 13TH ST                                                                                      Austin TX 78703
Theft: Shoplifting,08/03/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: Auto Theft,07/21/2014 12:00:00 AM,1515 WICKERSHAM LN                                                                                  Austin TX 78741
Theft: Auto Parts,05/08/2014 12:00:00 AM,2002 WHITIS AVE                                                                                     Austin TX 78705
Aggravated Assault,02/26/2014 12:00:00 AM,11414 PTARMIGAN DR                                                                                  Austin TX 78758
Theft: Shoplifting,08/18/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Theft: All Other Larceny,12/02/2014 12:00:00 AM,4502 ALAMOSA DR                                                                                     Austin TX 78759
Theft: BOV,03/25/2014 12:00:00 AM,6508 SANTOLINA CV                                                                                   Austin TX 78731
Theft: BOV,12/15/2014 12:00:00 AM,104 E STASSNEY LN                                                                                   Austin TX 78745
Burglary: Breaking & Entering,06/16/2014 12:00:00 AM,1706 CITY PARK RD                                                                                   Austin TX 78730
Theft: All Other Larceny,02/24/2014 12:00:00 AM,1822 W BRAKER LN                                                                                    Austin TX 78758
Theft: All Other Larceny,03/26/2014 12:00:00 AM,10504 PLAINS TRL                                                                                    Austin TX 78758
Theft: All Other Larceny,10/30/2014 12:00:00 AM,6201 WYNONA AVE                                                                                     Austin TX 78757
Theft: All Other Larceny,01/16/2014 12:00:00 AM,11921 KILMARTIN LN                                                                                  Austin TX 78653
Robbery,04/10/2014 12:00:00 AM,1700 BLOCK E OLTORF ST                                                                              Austin TX 78741
Aggravated Assault,01/25/2014 12:00:00 AM,2810 HEMPHILL PARK                                                                                  Austin TX 78705
Theft: All Other Larceny,10/24/2014 12:00:00 AM,2201 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft: All Other Larceny,04/01/2014 12:00:00 AM,2208 DELCREST DR                                                                                    Austin TX 78704
Theft: All Other Larceny,06/03/2014 12:00:00 AM,6406 N IH 35 SB                                                                                     Austin TX 78752
